"Step","no_attack - train/loss","no_attack - train/loss__MIN","no_attack - train/loss__MAX"
"623","0.1295","0.1295","0.1295"
"624","0.3066","0.3066","0.3066"
"625","0.3245","0.3245","0.3245"
"626","0.2319","0.2319","0.2319"
"627","0.2002","0.2002","0.2002"
"628","0.1077","0.1077","0.1077"
"629","0.1186","0.1186","0.1186"
"630","0.173","0.173","0.173"
"631","0.2501","0.2501","0.2501"
"632","0.1159","0.1159","0.1159"
"633","0.2843","0.2843","0.2843"
"634","0.1321","0.1321","0.1321"
"635","0.2303","0.2303","0.2303"
"636","0.1954","0.1954","0.1954"
"637","0.2943","0.2943","0.2943"
"638","0.1194","0.1194","0.1194"
"639","0.1042","0.1042","0.1042"
"640","0.1585","0.1585","0.1585"
"641","0.0968","0.0968","0.0968"
"642","0.1244","0.1244","0.1244"
"643","0.1059","0.1059","0.1059"
"644","0.1307","0.1307","0.1307"
"645","0.2296","0.2296","0.2296"
"646","0.1596","0.1596","0.1596"
"647","0.2257","0.2257","0.2257"
"648","0.2239","0.2239","0.2239"
"649","0.2046","0.2046","0.2046"
"650","0.1298","0.1298","0.1298"
"651","0.0884","0.0884","0.0884"
"652","0.2164","0.2164","0.2164"
"653","0.1559","0.1559","0.1559"
"654","0.2046","0.2046","0.2046"
"655","0.1539","0.1539","0.1539"
"656","0.1244","0.1244","0.1244"
"657","0.1974","0.1974","0.1974"
"658","0.2281","0.2281","0.2281"
"659","0.276","0.276","0.276"
"660","0.2947","0.2947","0.2947"
"661","0.1708","0.1708","0.1708"
"662","0.2567","0.2567","0.2567"
"663","0.1945","0.1945","0.1945"
"664","0.1408","0.1408","0.1408"
"665","0.2126","0.2126","0.2126"
"666","0.3459","0.3459","0.3459"
"667","0.1739","0.1739","0.1739"
"668","0.1683","0.1683","0.1683"
"669","0.1099","0.1099","0.1099"
"670","0.1845","0.1845","0.1845"
"671","0.1904","0.1904","0.1904"
"672","0.2388","0.2388","0.2388"
"673","0.1645","0.1645","0.1645"
"674","0.2444","0.2444","0.2444"
"675","0.1678","0.1678","0.1678"
"676","0.1521","0.1521","0.1521"
"677","0.1596","0.1596","0.1596"
"678","0.1728","0.1728","0.1728"
"679","0.3386","0.3386","0.3386"
"680","0.3576","0.3576","0.3576"
"681","0.2565","0.2565","0.2565"
"682","0.2572","0.2572","0.2572"
"683","0.0748","0.0748","0.0748"
"684","0.1033","0.1033","0.1033"
"685","0.1238","0.1238","0.1238"
"686","0.1167","0.1167","0.1167"
"687","0.1555","0.1555","0.1555"
"688","0.1587","0.1587","0.1587"
"689","0.0958","0.0958","0.0958"
"690","0.3751","0.3751","0.3751"
"691","0.1016","0.1016","0.1016"
"692","0.2122","0.2122","0.2122"
"693","0.2516","0.2516","0.2516"
"694","0.2227","0.2227","0.2227"
"695","0.163","0.163","0.163"
"696","0.1315","0.1315","0.1315"
"697","0.1025","0.1025","0.1025"
"698","0.2753","0.2753","0.2753"
"699","0.098","0.098","0.098"
"700","0.47","0.47","0.47"
"701","0.0462","0.0462","0.0462"
"702","0.3235","0.3235","0.3235"
"703","0.1866","0.1866","0.1866"
"704","0.1646","0.1646","0.1646"
"705","0.1032","0.1032","0.1032"
"706","0.3","0.3","0.3"
"707","0.2009","0.2009","0.2009"
"708","0.2352","0.2352","0.2352"
"709","0.2134","0.2134","0.2134"
"710","0.1901","0.1901","0.1901"
"711","0.1541","0.1541","0.1541"
"712","0.1789","0.1789","0.1789"
"713","0.2041","0.2041","0.2041"
"714","0.1264","0.1264","0.1264"
"715","0.4324","0.4324","0.4324"
"716","0.1072","0.1072","0.1072"
"717","0.1939","0.1939","0.1939"
"718","0.1657","0.1657","0.1657"
"719","0.2554","0.2554","0.2554"
"720","0.106","0.106","0.106"
"721","0.1325","0.1325","0.1325"
"722","0.2438","0.2438","0.2438"
"723","0.1536","0.1536","0.1536"
"724","0.1911","0.1911","0.1911"
"725","0.2433","0.2433","0.2433"
"726","0.1931","0.1931","0.1931"
"727","0.0905","0.0905","0.0905"
"728","0.1996","0.1996","0.1996"
"729","0.2419","0.2419","0.2419"
"730","0.2063","0.2063","0.2063"
"731","0.2121","0.2121","0.2121"
"732","0.1092","0.1092","0.1092"
"733","0.3195","0.3195","0.3195"
"734","0.1447","0.1447","0.1447"
